,Symbol,Empresa,Subsetor
109,ENBR3,ENERGIAS BR ,Energia Elétrica
110,ENEV3,ENEVA,Energia Elétrica
111,ENMT3,ENERGISA MT,Energia Elétrica
112,EQTL3,EQUATORIAL  ,Energia Elétrica
113,ESTR3,ESTRELA     ,Viagens e Lazer
114,ETER3,ETERNIT     ,Construção e Engenharia
115,EUCA3,EUCATEX     ,Madeira e Papel
116,EVEN3,EVEN        ,Construção Civil
117,EZTC3,EZTEC       ,Construção Civil
118,FESA3,FERBASA     ,Siderurgia e Metalurgia
119,FHER3,FER HERINGER,Químicos
120,FLRY3,FLEURY      ,"Serviços Médico - Hospitalares,Análises e Diagnósticos"
121,FRAS3,FRAS-LE     ,Material de Transporte
122,FRIO3,METALFRIO   ,Máquinas e Equipamentos
123,FRTA3,POMIFRUTAS,Agropecuária
124,GEPA3,GER PARANAP ,Energia Elétrica
125,GFSA3,GAFISA      ,Construção Civil
126,GGBR3,GERDAU      ,Siderurgia e Metalurgia
127,GNDI3,INTERMEDICA,"Serviços Médico - Hospitalares,Análises e Diagnósticos"
128,GOAU3,GERDAU MET  ,Siderurgia e Metalurgia
129,GOLL4,GOL         ,Transporte
130,GPCP3,GPC PART    ,Químicos
131,GRND3,GRENDENE    ,"Tecidos, Vestuário e Calçados"
132,GSHP3,GENERALSHOPP,Exploração de Imóveis
133,GUAR3,GUARARAPES  ,Comércio
134,HAGA3,HAGA S/A    ,Construção e Engenharia
135,HAPV3,HAPVIDA,"Serviços Médico - Hospitalares,Análises e Diagnósticos"
136,HBOR3,HELBOR      ,Construção Civil
137,HBTS5,HABITASUL   ,Exploração de Imóveis
138,HETA3,HERCULES    ,Utilidades Domésticas
139,HGTX3,CIA HERING  ,"Tecidos, Vestuário e Calçados"
140,HOOT4,HOTEIS OTHON,Hoteis e Restaurantes
141,HYPE3,HYPERA,Comércio e Distribuição
142,IDNT3,IDEIASNET   ,Serviços Financeiros Diversos
143,IGBR3,IGB S/A     ,Exploração de Imóveis
144,IGTA3,IGUATEMI    ,Exploração de Imóveis
145,INEP3,INEPAR      ,Máquinas e Equipamentos
146,IRBR3,IRBBRASIL RE,Previdência e Seguros
147,ITSA3,ITAUSA      ,Intermediários Financeiros
148,ITUB3,ITAUUNIBANCO,Intermediários Financeiros
149,JBDU3,J B DUARTE  ,Outros
150,JBSS3,JBS         ,Alimentos Processados
151,JFEN3,JOAO FORTES ,Construção Civil
152,JHSF3,JHSF PART   ,Construção Civil
153,JOPA3,JOSAPAR     ,Alimentos Processados
154,JPSA3,JEREISSATI  ,Exploração de Imóveis
155,JSLG3,JSL         ,Transporte
156,KEPL3,KEPLER WEBER,Máquinas e Equipamentos
157,LAME3,LOJAS AMERIC,Comércio
158,LCAM3,LOCAMERICA,Diversos
159,LEVE3,METAL LEVE  ,Automóveis e Motocicletas
160,LIGT3,LIGHT S/A   ,Energia Elétrica
161,LINX3,LINX,Programas e Serviços
162,LLIS3,LE LIS BLANC,Comércio
163,LOGG3,LOG COM PROP,Exploração de Imóveis
164,LOGN3,LOG-IN      ,Transporte
165,LPSB3,LOPES BRASIL,Exploração de Imóveis
166,LREN3,LOJAS RENNER,Comércio
167,LUPA3,LUPATECH    ,"Petróleo, Gás e Biocombustíveis"
168,LUXM3,TREVISA     ,Transporte
169,LWSA3,LOCAWEB,Programas e Serviços
170,MAPT3,CEMEPE      ,Outros
171,MDIA3,M.DIASBRANCO,Alimentos Processados
172,MDNE3,MOURA DUBEUX,Construção Civil
173,MEAL3,IMC S/A,Hoteis e Restaurantes
174,MERC3,MERC FINANC ,Intermediários Financeiros
175,MGEL3,MANGELS INDL,Siderurgia e Metalurgia
176,MGLU3,MAGAZ LUIZA ,Comércio
177,MILS3,MILLS       ,Construção e Engenharia
178,MMXM3,MMX MINER   ,Mineração
179,MNDL3,MUNDIAL     ,"Tecidos, Vestuário e Calçados"
180,MNPR3,MINUPAR     ,Alimentos Processados
181,MOAR3,MONT ARANHA ,Holdings Diversificadas
182,MOVI3,MOVIDA,Diversos
183,MRFG3,MARFRIG     ,Alimentos Processados
184,MRVE3,MRV         ,Construção Civil
185,MSPA3,MELHOR SP   ,Madeira e Papel
186,MTIG3,METAL IGUACU,Embalagens
187,MTRE3,MITRE REALTY,Construção Civil
188,MTSA4,METISA      ,Máquinas e Equipamentos
189,MULT3,MULTIPLAN   ,Exploração de Imóveis
190,MWET3,WETZEL S/A  ,Material de Transporte
191,MYPK3,IOCHP-MAXION,Automóveis e Motocicletas
192,NEOE3,NEOENERGIA  ,Energia Elétrica
193,NORD3,NORDON MET  ,Máquinas e Equipamentos
194,NTCO3,GRUPO NATURA      ,Produtos de Uso Pessoal e de Limpeza
195,NUTR3,NUTRIPLANT  ,Químicos
196,ODPV3,ODONTOPREV  ,"Serviços Médico - Hospitalares,Análises e Diagnósticos"
197,OFSA3,OUROFINO S/A,Medicamentos e Outros Produtos
198,OIBR3,OI,Telecomunicações
199,OMGE3,OMEGA GER,Energia Elétrica
200,OSXB3,OSX BRASIL  ,"Petróleo, Gás e Biocombustíveis"
201,PARD3,IHPARDINI,"Serviços Médico - Hospitalares,Análises e Diagnósticos"
202,PATI3,PANATLANTICA,Siderurgia e Metalurgia
203,PCAR3,P.ACUCAR-CBD,Comércio e Distribuição
204,PDGR3,PDG REALT   ,Construção Civil
205,PEAB3,PAR AL BAHIA,Holdings Diversificadas
206,PETR3,PETROBRAS   ,"Petróleo, Gás e Biocombustíveis"
207,PFRM3,PROFARMA    ,Comércio e Distribuição
208,PINE3,PINE        ,Intermediários Financeiros
209,PMAM3,PARANAPANEMA,Siderurgia e Metalurgia
210,PNVL3,DIMED       ,Comércio e Distribuição
211,POMO3,MARCOPOLO   ,Material de Transporte
212,POSI3,POSITIVO TEC,Computadores e Equipamentos
213,PRNR3,PRINER,Serviços Diversos
214,PSSA3,PORTO SEGURO,Previdência e Seguros
215,PTBL3,PORTOBELLO  ,Construção e Engenharia
216,PTNT3,PETTENATI   ,"Tecidos, Vestuário e Calçados"
217,QUAL3,QUALICORP   ,"Serviços Médico - Hospitalares,Análises e Diagnósticos"
218,RADL3,RAIADROGASIL    ,Comércio e Distribuição
219,RANI3,IRANI ,Madeira e Papel
220,RAPT3,RANDON PART ,Material de Transporte
221,RCSL4,RECRUSUL    ,Material de Transporte
222,RDNI3,RNI,Construção Civil
223,RENT3,LOCALIZA    ,Diversos
224,RLOG3,COSAN LOG,Transporte
225,ROMI3,INDS ROMI   ,Máquinas e Equipamentos
226,RPAD3,ALFA HOLDING,Intermediários Financeiros
227,RPMG3,PET MANGUINH,"Petróleo, Gás e Biocombustíveis"
228,RSID3,ROSSI RESID ,Construção Civil
229,RSUL4,RIOSULENSE  ,Material de Transporte
230,SBSP3,SABESP      ,Água e Saneamento
231,SCAR3,SAO CARLOS  ,Exploração de Imóveis
232,SEER3,SER EDUCA,Diversos
233,SGPS3,SPRINGS     ,"Tecidos, Vestuário e Calçados"
234,SHOW3,TIME FOR FUN,Viagens e Lazer
235,SHUL4,SCHULZ      ,Máquinas e Equipamentos
236,SLCE3,SLC AGRICOLA,Agropecuária
237,SLED3,SARAIVA LIVR,Comércio
238,SMTO3,SAO MARTINHO,Alimentos Processados
239,SNSY5,SANSUY      ,Materiais Diversos
240,SOND3,SONDOTECNICA,Construção e Engenharia
241,SPRI3,SPRINGER    ,Holdings Diversificadas
242,SUZB3,SUZANO S.A.,Madeira e Papel
243,TCNO3,TECNOSOLO   ,Construção e Engenharia
244,TCSA3,TECNISA     ,Construção Civil
245,TECN3,TECHNOS     ,"Tecidos, Vestuário e Calçados"
246,TEKA3,TEKA        ,"Tecidos, Vestuário e Calçados"
247,TEND3,TENDA,Construção Civil
248,TESA3,TERRA SANTA,Agropecuária
249,TGMA3,TEGMA       ,Transporte
250,TOTS3,TOTVS       ,Programas e Serviços
251,TPIS3,TRIUNFO PART,Transporte
252,TRIS3,TRISUL      ,Construção Civil
253,TRPL3,TRAN PAULIST,Energia Elétrica
254,TUPY3,TUPY        ,Material de Transporte
255,TXRX3,TEX RENAUX  ,"Tecidos, Vestuário e Calçados"
256,UCAS3,UNICASA,Utilidades Domésticas
257,UGPA3,ULTRAPAR    ,"Petróleo, Gás e Biocombustíveis"
258,UNIP3,UNIPAR      ,Químicos
259,USIM3,USIMINAS    ,Siderurgia e Metalurgia
260,VALE3,VALE        ,Mineração
261,VIVA3,VIVARA S.A.,"Tecidos, Vestuário e Calçados"
262,VIVR3,VIVER       ,Construção Civil
263,VIVT3,TELEF BRASIL,Telecomunicações
264,VLID3,VALID       ,Serviços Diversos
265,VULC3,VULCABRAS   ,"Tecidos, Vestuário e Calçados"
266,WEGE3,WEG         ,Máquinas e Equipamentos
