,Setor,Subsetor,Empresa,Ticker
128,Consumo Cíclico,Construção Civil,EZTEC       ,EZTC
129,Materiais Básicos,Siderurgia e Metalurgia,FERBASA     ,FESA
130,Materiais Básicos,Químicos,FER HERINGER,FHER
131,Saúde,"Serviços Médico - Hospitalares,Análises e Diagnósticos",FLEURY      ,FLRY
132,Bens Industriais,Material de Transporte,FRAS-LE     ,FRAS
133,Bens Industriais,Máquinas e Equipamentos,METALFRIO   ,FRIO
134,Consumo não Cíclico,Agropecuária,POMIFRUTAS,FRTA
135,Saúde,Medicamentos e Outros Produtos,BIOTOSCANA,GBIO
136,Utilidade Pública,Energia Elétrica,GER PARANAP ,GEPA
137,Consumo Cíclico,Construção Civil,GAFISA      ,GFSA
138,Materiais Básicos,Siderurgia e Metalurgia,GERDAU      ,GGBR
139,Saúde,"Serviços Médico - Hospitalares,Análises e Diagnósticos",INTERMEDICA,GNDI
140,Materiais Básicos,Siderurgia e Metalurgia,GERDAU MET  ,GOAU
141,Bens Industriais,Transporte,GOL         ,GOLL
142,Materiais Básicos,Químicos,GPC PART    ,GPCP
143,Financeiro,Serviços Financeiros Diversos,GP INVEST   ,GPIV
144,Consumo Cíclico,"Tecidos, Vestuário e Calçados",GRENDENE    ,GRND
145,Financeiro,Exploração de Imóveis,GENERALSHOPP,GSHP
146,Consumo Cíclico,Comércio,GUARARAPES  ,GUAR
147,Bens Industriais,Construção e Engenharia,HAGA S/A    ,HAGA
148,Saúde,"Serviços Médico - Hospitalares,Análises e Diagnósticos",HAPVIDA,HAPV
149,Consumo Cíclico,Construção Civil,HELBOR      ,HBOR
150,Financeiro,Exploração de Imóveis,HABITASUL   ,HBTS
151,Consumo Cíclico,Utilidades Domésticas,HERCULES    ,HETA
152,Consumo Cíclico,"Tecidos, Vestuário e Calçados",CIA HERING  ,HGTX
153,Consumo Cíclico,Hoteis e Restaurantes,HOTEIS OTHON,HOOT
154,Saúde,Comércio e Distribuição,HYPERA,HYPE
155,Financeiro,Serviços Financeiros Diversos,IDEIASNET   ,IDNT
156,Financeiro,Intermediários Financeiros,INDUSVAL    ,IDVL
157,Financeiro,Exploração de Imóveis,IGB S/A     ,IGBR
158,Financeiro,Exploração de Imóveis,IGUATEMI    ,IGTA
159,Bens Industriais,Máquinas e Equipamentos,INEPAR      ,INEP
160,Financeiro,Previdência e Seguros,IRBBRASIL RE,IRBR
161,Financeiro,Intermediários Financeiros,ITAUSA      ,ITSA
162,Financeiro,Intermediários Financeiros,ITAUUNIBANCO,ITUB
163,Outros,Outros,J B DUARTE  ,JBDU
164,Consumo não Cíclico,Alimentos Processados,JBS         ,JBSS
165,Consumo Cíclico,Construção Civil,JOAO FORTES ,JFEN
166,Consumo Cíclico,Construção Civil,JHSF PART   ,JHSF
167,Consumo não Cíclico,Alimentos Processados,JOSAPAR     ,JOPA
168,Financeiro,Exploração de Imóveis,JEREISSATI  ,JPSA
169,Bens Industriais,Transporte,JSL         ,JSLG
170,Bens Industriais,Máquinas e Equipamentos,KEPLER WEBER,KEPL
